A,changegreedy,changedp
2000,67,67
2005,68,68
2010,67,67
2015,69,69
2020,68,68
2025,69,69
2030,68,68
2035,69,69
2040,68,68
2045,70,70
2050,69,69
2055,70,70
2060,69,69
2065,70,70
2070,69,69
2075,71,71
2080,70,70
2085,71,71
2090,70,70
2095,71,71
2100,70,70
2105,72,72
2110,71,71
2115,72,72
2120,71,71
2125,72,72
2130,71,71
2135,73,73
2140,72,72
2145,73,73
2150,72,72
2155,73,73
2160,72,72
2165,74,74
2170,73,73
2175,74,74
2180,73,73
2185,74,74
2190,73,73
2195,75,75
2200,74,74
