A,Time
36500,5.12000524111e-06
36600,5.12000524111e-06
36700,5.12000524111e-06
36800,5.12000524822e-06
36900,5.12000524111e-06
37000,4.86400497834e-06
37100,4.86400497834e-06
37200,5.12000524111e-06
37300,5.12000524822e-06
37400,5.12000524111e-06
37500,5.12000524111e-06
37600,5.12000524111e-06
37700,5.12000524822e-06
37800,5.12000524822e-06
37900,4.86400497834e-06
38000,4.86400497834e-06
38100,5.12000524111e-06
38200,5.12000524822e-06
38300,5.12000524822e-06
38400,5.12000524111e-06
38500,5.12000524111e-06
38600,5.12000524111e-06
38700,5.12000524822e-06
38800,5.12000524822e-06
38900,4.86400497834e-06
39000,5.12000524111e-06
39100,5.12000524111e-06
39200,5.12000524822e-06
39300,5.12000524822e-06
39400,5.12000524111e-06
39500,5.12000524111e-06
39600,5.12000524111e-06
39700,5.12000524822e-06
39800,5.12000524111e-06
39900,5.12000524111e-06
40000,5.12000524111e-06
40100,4.86400497834e-06
40200,5.12000524822e-06
40300,5.12000524111e-06
40400,5.12000524111e-06
40500,5.12000524111e-06
40600,4.86400497834e-06
40700,5.12000524822e-06
40800,5.12000524822e-06
40900,5.12000524111e-06
41000,4.86400497834e-06
41100,4.86400497834e-06
41200,4.86400497834e-06
41300,5.12000524822e-06
41400,4.86400498545e-06
41500,4.86400497834e-06
41600,4.86400497834e-06
41700,5.12000524111e-06
41800,4.86400497834e-06
41900,4.86400498545e-06
42000,5.12000524111e-06
42100,5.12000524111e-06
42200,5.12000524111e-06
42300,5.12000524111e-06
42400,5.12000524822e-06
42500,5.12000524822e-06
42600,5.12000524111e-06
42700,4.86400497834e-06
42800,5.12000524111e-06
42900,4.86400497834e-06
43000,5.12000524822e-06
43100,5.12000524822e-06
43200,5.12000524111e-06
43300,4.86400497834e-06
43400,5.12000524111e-06
43500,4.86400498545e-06
43600,4.86400497834e-06
43700,4.86400497834e-06
43800,5.12000524111e-06
43900,4.86400497834e-06
44000,5.12000524822e-06
44100,5.12000524111e-06
44200,5.12000524111e-06
44300,4.86400497834e-06
44400,4.86400497834e-06
44500,5.12000524822e-06
44600,5.12000524822e-06
44700,4.86400497834e-06
44800,5.12000524111e-06
44900,5.12000524111e-06
45000,5.12000524111e-06
45100,5.12000524822e-06
45200,4.86400497834e-06
45300,4.86400497834e-06
45400,4.86400497834e-06
45500,5.12000524111e-06
45600,4.86400497834e-06
45700,5.12000524822e-06
45800,4.86400498545e-06
45900,4.86400497834e-06
46000,5.12000524111e-06
46100,5.12000524111e-06
46200,4.86400497834e-06
46300,5.12000524822e-06
46400,4.86400498545e-06
46500,4.86400497834e-06
46600,5.12000524111e-06
46700,5.12000524111e-06
46800,5.12000524111e-06
46900,5.12000524822e-06
47000,5.12000524822e-06
47100,5.12000524111e-06
47200,5.12000524111e-06
47300,5.12000524111e-06
47400,4.86400497834e-06
47500,5.12000524111e-06
47600,4.86400498545e-06
47700,5.12000524111e-06
47800,5.12000524111e-06
47900,4.86400497834e-06
48000,5.12000524111e-06
48100,5.12000524822e-06
48200,4.86400498545e-06
48300,4.86400497834e-06
48400,5.12000524111e-06
48500,4.86400497834e-06
48600,5.12000524111e-06
48700,5.12000524822e-06
48800,4.86400498545e-06
48900,5.12000524111e-06
49000,5.12000524111e-06
49100,5.12000524111e-06
49200,5.12000524111e-06
49300,4.86400498545e-06
49400,4.86400497834e-06
49500,5.12000524111e-06
49600,4.86400497834e-06
49700,5.12000524111e-06
49800,5.12000524111e-06
49900,4.86400498545e-06
50000,5.12000524111e-06
50100,4.86400497834e-06
50200,5.12000524111e-06
50300,4.86400497834e-06
50400,4.86400498545e-06
50500,4.86400498545e-06
50600,5.12000524111e-06
50700,5.12000524111e-06
50800,4.86400497834e-06
50900,5.12000524111e-06
51000,4.86400498545e-06
51100,4.86400498545e-06
51200,4.86400497834e-06
51300,4.86400497834e-06
51400,4.86400497834e-06
51500,5.12000524111e-06
51600,4.86400498545e-06
51700,4.86400497834e-06
51800,5.63200577375e-06
51900,5.12000524111e-06
52000,5.12000524111e-06
52100,4.86400498545e-06
52200,5.12000524111e-06
52300,5.12000524111e-06
52400,5.12000524111e-06
52500,5.12000524111e-06
52600,5.12000524822e-06
52700,4.86400497834e-06
52800,5.12000524111e-06
52900,5.12000524111e-06
53000,5.12000524111e-06
53100,4.86400498545e-06
53200,5.12000524822e-06
53300,5.12000524111e-06
53400,5.12000524111e-06
53500,5.12000524111e-06
53600,5.12000524111e-06
53700,4.86400498545e-06
53800,5.12000524111e-06
53900,5.12000524111e-06
54000,5.12000524111e-06
54100,5.12000524111e-06
54200,5.12000524822e-06
54300,5.12000524822e-06
54400,5.12000524111e-06
54500,5.12000524111e-06
54600,5.12000524111e-06
54700,5.12000524111e-06
54800,5.12000524822e-06
54900,4.86400498545e-06
55000,4.86400497834e-06
55100,5.12000524111e-06
55200,5.12000524111e-06
55300,5.12000524111e-06
55400,5.12000524822e-06
55500,4.86400497834e-06
55600,5.12000524111e-06
55700,5.12000524111e-06
55800,5.12000524111e-06
55900,4.86400498545e-06
56000,5.12000524111e-06
56100,5.12000524111e-06
56200,4.86400497834e-06
56300,4.86400497834e-06
